"","CustomerID","OfferID.x","value","event_timestamp","arrival_timestamp","OfferID.y","spended_time","interest"
"1356","11",19413,"4",1452071683467,1452151931631,19413,4814889840000,"YES"
"6125","13",20097,"2",1451499973482,1452337746946,20097,50266407840000,"YES"
"6141","134",16797,"2",1447428206996,1451637580797,16797,252562428060000,"YES"
"6444","151",21036,"2",1451164497136,1452184554753,21036,61203457020000,"YES"
"6459","159",22165,"8",1452935265013,1453010055414,22165,4487424060000,"YES"
"6507","163",18016,"2",1448780624366,1452194248297,18016,204817435860000,"YES"
"6799","19",24453,"10",1452868534634,1452904715300,24453,2170839960000,"YES"
"20234","22",19778,"10",1452337295368,1452493525563,19778,9373811700000,"YES"
"81277","245",15033,"4",1451743812353,1451891416354,15033,8856240060000,"YES"
"81551","289",12324,"4",1450851235318,1452232921506,12324,82901171280000,"YES"
"81803","295",20744,"2",1451129170607,1451900509141,20744,46280312040000,"YES"
"82199","3",22574,"8",1451988529241,1452086031536,22574,5850137700000,"YES"
"103497","304",20186,"4",1451583172592,1451608731845,20186,1533555180000,"YES"
"114069","313",22875,"12",1452615331698,1453038571641,22875,25394396580000,"YES"
"144709","316",24335,"20",1452700049515,1452764932935,24335,3893005200000,"YES"
"144853","317",24245,"4",1452796729517,1452844448801,24245,2863157040000,"YES"
"144883","318",20136,"4",1452878629584,1452945603437,20136,4018431180000,"YES"
"145758","56",14414,"4",1451797101133,1452355239657,14414,33488311440000,"YES"
"146471","71",23885,"4",1452095970370,1452144239185,23885,2896128900000,"YES"
"11","11",11822,"6",1452500734023,1452502865348,11822,127879500000,"NO"
"6063","13",22877,"4",1453089197299,1453089269384,22877,4325100000,"NO"
"6143","136",20480,"6",1452059415916,1452066177664,20480,405704880000,"NO"
"6175","14",16149,"6",1451806434058,1451807121896,16149,41270280000,"NO"
"6392","151",23100,"4",1452184602592,1452184812561,23100,12598140000,"NO"
"6547","19",23840,"4",1452153340207,1452153408957,23840,4.125e+09,"NO"
"8399","191",21110,"4",1452665393158,1452665490729,21110,5854260000,"NO"
"8412","22",21630,"80",1452070078123,1452071801083,21630,103377600000,"NO"
"81191","236",20311,"10",1452799227777,1452799297770,20311,4199580000,"NO"
"81211","245",22125,"6",1451901698434,1451901745397,22125,2817780000,"NO"
"81453","254",21105,"4",1451985486921,1451985503846,21105,1015500000,"NO"
"81457","278",21625,"8",1452087716947,1452087638062,21625,-4733100000,"NO"
"81472","289",16008,"6",1452233669547,1452233732833,16008,3797160000,"NO"
"81801","294",21624,"2",1451637836455,1451637859337,21624,1372920000,"NO"
"81940","3",20463,"4",1452265825814,1452265898243,20463,4345740000,"NO"
"103384","304",20726,"2",1451788247212,1451788298091,20726,3052740000,"NO"
"104227","306",21755,"4",1451794678606,1451794757422,21755,4728960000,"NO"
"104473","310",14409,"2",1452107686286,1452107624340,14409,-3716760000,"NO"
"104481","311",20612,"4",1452330348174,1452330369203,20612,1261740000,"NO"
"104681","312",19371,"4",1452359296822,1452359331924,19371,2106120000,"NO"
"104916","313",12599,"2",1453039010857,1453039084051,12599,4391640000,"NO"
"144678","316",23098,"4",1452691874680,1452691970504,23098,5749440000,"NO"
"144819","317",19145,"2",1452969991305,1452969993362,19145,123420000,"NO"
"144888","318",20136,"4",1452878629584,1452878701637,20136,4323180000,"NO"
"145077","319",16078,"4",1452959752046,1452959754736,16078,161400000,"NO"
"145081","321",23270,"2",1453099169552,1453099178585,23270,541980000,"NO"
"145083","334",24171,"2",1453108741910,1453108748921,24171,420660000,"NO"
"145085","339",24231,"4",1453109581146,1453109663448,24231,4938120000,"NO"
"145166","340",24715,"4",1453109353053,1453109367643,24715,875400000,"NO"
"145299","352",23819,"4",1453111784333,1453111800185,23819,951120000,"NO"
"145333","362",24295,"4",1453112556165,1453112622098,24295,3955980000,"NO"
"145721","47",22128,"4",1451982059372,1451982087518,22128,1688760000,"NO"
"145727","56",24303,"16",1452609664519,1452609962804,24303,17897100000,"NO"
"145916","71",24505,"12",1452919385233,1452919418823,24505,2015400000,"NO"
"171338","75",16268,"12",1452865193372,1452865264577,16268,4272300000,"NO"
