"","OfferID","CustomerID","value","interest"
"1",11822,11,"6","NO"
"2",12020,11,"14","NO"
"3",12122,11,"8","NO"
"4",12124,11,"4","NO"
"5",12154,11,"12","NO"
"6",12156,11,"4","NO"
"7",12201,11,"2","NO"
"8",12324,11,"4","YES"
"9",12598,11,"4","NO"
"10",12599,11,"2","NO"
"11",12608,11,"4","NO"
"12",12739,11,"6","NO"
"13",12902,11,"4","NO"
"14",13393,11,"4","NO"
"15",13859,11,"4","YES"
"16",14045,11,"6","NO"
"17",14134,11,"4","NO"
"18",14341,11,"4","NO"
"19",14408,11,"4","NO"
"20",14409,11,"2","NO"
"21",14410,11,"6","NO"
"22",14413,11,"8","NO"
"23",14414,11,"4","YES"
"24",14523,11,"4","NO"
"25",15033,11,"4","NO"
"26",15224,13,"4","NO"
"27",15225,13,"2","NO"
"28",15283,13,"4","YES"
"29",15284,13,"4","NO"
"30",15599,13,"6","NO"
"34",15679,14,"8","NO"
"35",15831,14,"8","NO"
"36",15836,14,"8","NO"
"37",15851,14,"2","NO"
"38",15852,14,"14","NO"
"39",16008,14,"4","NO"
"40",16066,14,"4","NO"
"41",16078,151,"4","NO"
"42",16079,151,"4","NO"
"45",16146,163,"10","NO"
"61",18146,22,"6","NO"
"62",18151,22,"42","NO"
"63",18152,22,"8","NO"
"64",18481,22,"4","NO"
"65",19019,22,"10","NO"
"66",19029,22,"4","NO"
"67",19145,22,"4","NO"
"68",19222,22,"4","NO"
"69",19306,22,"12","NO"
"70",19371,22,"4","NO"
"71",19413,22,"4","YES"
"72",19436,22,"4","NO"
"73",19475,22,"4","NO"
"74",19496,22,"4","NO"
"75",19522,22,"4","YES"
"76",19698,22,"4","NO"
"77",19727,22,"4","NO"
"78",19744,22,"4","NO"
"79",19777,22,"6","NO"
"80",19778,22,"10","NO"
"81",19779,22,"6","NO"
"82",19780,22,"4","NO"
"83",19839,22,"4","NO"
"84",19853,22,"6","NO"
"85",19941,22,"6","NO"
"86",19996,22,"4","NO"
"87",20002,22,"4","NO"
"88",20003,22,"2","NO"
"89",20004,22,"6","NO"
"90",20059,22,"2","NO"
"91",20097,22,"2","YES"
"92",20130,22,"10","NO"
"93",20131,22,"8","YES"
"94",20133,22,"4","YES"
"95",20134,22,"16","NO"
"96",20135,22,"4","NO"
"97",20136,22,"4","NO"
"98",20186,22,"4","NO"
"99",20188,22,"6","NO"
"100",20189,22,"4","YES"
"101",20197,22,"6","NO"
"102",20229,22,"4","NO"
"103",20248,22,"6","NO"
"104",20291,22,"2","NO"
"105",20306,22,"4","NO"
"106",20309,22,"300","NO"
"107",20311,22,"4","YES"
"108",20371,22,"6","NO"
"109",20388,22,"4","NO"
"110",20463,22,"4","NO"
"111",20480,22,"6","NO"
"112",20487,22,"4","NO"
"113",20594,22,"4","NO"
"114",20596,22,"10","NO"
"115",20597,22,"4","NO"
"116",20602,22,"6","NO"
"117",20610,22,"12","NO"
"118",20612,22,"4","NO"
"119",20617,22,"4","NO"
"120",20662,22,"2","NO"
"121",20673,245,"4","NO"
"122",20726,245,"2","NO"
"123",20730,245,"14","NO"
"124",20744,245,"2","YES"
"125",20774,245,"4","NO"
"126",20864,254,"4","YES"
"128",21034,289,"8","NO"
"129",21036,289,"2","YES"
"130",21105,289,"4","NO"
"133",21108,3,"28","NO"
"134",21109,3,"30","NO"
"135",21110,3,"28","NO"
"136",21111,3,"42","NO"
"137",21113,3,"42","YES"
"138",21114,3,"18","NO"
"139",21125,3,"4","NO"
"140",21126,3,"4","NO"
"141",21236,3,"4","NO"
"142",21582,3,"2","NO"
"143",21617,3,"6","NO"
"144",21622,3,"14","NO"
"145",21624,3,"2","NO"
"146",21625,3,"8","NO"
"147",21629,3,"6","NO"
"148",21630,3,"80","NO"
"149",21631,3,"110","NO"
"150",21632,3,"18","NO"
"151",21633,3,"8","NO"
"152",21738,3,"4","NO"
"153",21755,3,"4","NO"
"154",21763,3,"10","NO"
"155",21955,3,"6","NO"
"156",21960,3,"4","NO"
"157",22061,3,"4","NO"
"158",22123,3,"4","NO"
"159",22125,3,"10","NO"
"160",22126,3,"4","NO"
"161",22128,3,"4","NO"
"162",22131,3,"4","YES"
"163",22161,3,"8","NO"
"164",22162,3,"8","YES"
"165",22163,3,"4","NO"
"166",22164,3,"4","NO"
"167",22165,3,"4","NO"
"168",22173,3,"4","NO"
"169",22290,3,"6","NO"
"170",22291,3,"34","NO"
"171",22292,3,"14","NO"
"172",22293,3,"36","NO"
"173",22294,3,"14","NO"
"174",22296,3,"6","NO"
"175",22297,3,"12","NO"
"176",22338,3,"4","NO"
"177",22356,3,"4","NO"
"178",22357,3,"4","NO"
"179",22373,3,"4","NO"
"180",22389,3,"2","NO"
"181",22425,3,"8","YES"
"182",22426,3,"4","NO"
"183",22432,3,"4","NO"
"184",22539,3,"4","NO"
"185",22572,3,"4","NO"
"186",22573,3,"8","NO"
"187",22574,3,"8","NO"
"188",22576,3,"4","YES"
"189",22658,3,"18","NO"
"190",22664,3,"4","NO"
"191",22668,3,"4","NO"
"192",22679,3,"4","NO"
"193",22682,3,"4","NO"
"194",22684,3,"4","NO"
"195",22690,304,"2","NO"
"196",22723,304,"4","YES"
"197",22769,304,"4","NO"
"198",22770,304,"4","NO"
"199",22829,304,"4","NO"
"200",22873,304,"4","NO"
"201",22874,304,"4","NO"
"202",22875,304,"4","YES"
"203",22876,304,"4","NO"
"204",22877,304,"4","NO"
"205",22878,304,"4","NO"
"206",22879,306,"8","NO"
"207",22880,306,"4","NO"
"208",22881,306,"4","NO"
"209",22882,306,"8","NO"
"210",22883,306,"4","NO"
"211",22885,310,"4","NO"
"212",22905,311,"4","NO"
"213",22907,311,"4","NO"
"214",22927,311,"4","NO"
"215",22929,311,"4","NO"
"216",22996,312,"4","NO"
"217",23064,312,"4","NO"
"218",23098,313,"4","NO"
"219",23100,313,"4","NO"
"220",23101,313,"8","NO"
"221",23104,313,"8","NO"
"222",23125,313,"8","NO"
"223",23139,313,"4","NO"
"224",23172,313,"4","YES"
"225",23269,313,"4","NO"
"226",23270,313,"4","NO"
"227",23272,313,"4","NO"
"228",23273,313,"4","NO"
"229",23274,313,"4","NO"
"230",23277,313,"4","NO"
"231",23278,313,"4","NO"
"232",23300,313,"4","NO"
"233",23304,313,"4","NO"
"234",23312,313,"8","NO"
"235",23317,313,"6","NO"
"236",23352,313,"8","NO"
"237",23358,313,"4","NO"
"238",23415,313,"4","NO"
"239",23444,313,"4","NO"
"240",23581,313,"4","NO"
"241",23584,313,"8","NO"
"242",23639,313,"4","NO"
"243",23672,313,"4","NO"
"244",23674,313,"4","NO"
"245",23728,313,"4","NO"
"246",23809,313,"4","NO"
"247",23819,313,"4","NO"
"248",23830,313,"8","NO"
"249",23833,313,"4","NO"
"250",23834,313,"4","NO"
"251",23838,313,"8","NO"
"252",23840,313,"12","NO"
"253",23841,313,"4","NO"
"254",23847,313,"2","NO"
"255",23850,313,"4","NO"
