"","ShopID","ShopName","Address","Landmark","Area","City","Pincode","Latitude","Longitude","State","StartTime","EndTime","OpenMonday","OpenTuesday","OpenWednesday","OpenThursday","OpenFriday","OpenSaturday","OpenSunday","MerchantID.x","ShopAddDate","OfferID","LMDID","OfferTitle","OfferDesc","TnC1","TnC2","TnC3","TnC4","TnC5","GeneralOfferTnC","Online_Offline","OfferImgUrl1","OfferImgUrl2","OfferImgUrl3","OfferImpactIndex","OfferStartDate","OfferEndDate","CouponType","OfferType","OfferActiveFlag","OfferAddDate","CategoriesCSV","Bank","CategoryID","CategoryName","ParentID","MerchantID.y","Merchant_name","Merchant_Alexa_rank","Merchant_type","PaymentID","BankID","PaymentMode"
"1",3200,"Cafe Coffee Day","Inside Leela Info Park,  Site No 5, Kakkanad Kochi - 682030?-","","","Kochi","",10.0037578,76.3579401,"Kerala","","",1,1,1,1,1,1,1,3000,"20-01-2016",26000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3000,"Cafe Coffee Day","0","Offline",1500,5,""
"2",3201,"Cafe Coffee Day","LULU INTERNATION SHOPPING Mall Pvt .Ltd,  34/ 1000, N.H 47, 
EDAPALLY, COCHIN -682024-","","","Kochi","",10.0284309,76.3084569,"Kerala","","",1,1,1,1,1,1,1,3000,"20-01-2016",26000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3000,"Cafe Coffee Day","0","Offline",1500,5,""
"3",3202,"Cafe Coffee Day","NO 67/71,KRISHNASWAMY ROAD,COIMBATORE-641001-","","","Coimbatore","",10.9960364,77.0055259,"Tamil Nadu","","",1,1,1,1,1,1,1,3000,"20-01-2016",26000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3000,"Cafe Coffee Day","0","Offline",1500,5,""
"4",3203,"Cafe Coffee Day","TOWER SERVEY NO 10/1840/26,SOWRIPALAYAM,COIMBATORE-641045-","","","Coimbatore","",10.9984399,76.9931074,"Tamil Nadu","","",1,1,1,1,1,1,1,3000,"20-01-2016",26000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3000,"Cafe Coffee Day","0","Offline",1500,5,""
"5",3204,"Cafe Coffee Day","Race Course RoadNo:14, Thomas ParkCOIMBATORE641018-","","","Coimbatore","",11.0024758,76.9808026,"Tamil Nadu","","",1,1,1,1,1,1,1,3000,"20-01-2016",26000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3000,"Cafe Coffee Day","0","Offline",1500,5,""
"6",3205,"Apex Garden","Hotel Heritage Inn, 73, Rooftop, Sivaswamy Road, Ramnagar,Nehru Stadium, Coimbatore-641009","","","Coimbatore","",11.0123501,76.9628658,"Tamil Nadu","","",1,1,1,1,1,1,1,3001,"20-01-2016",26001,"","10% On Food Bill (On Ala Carte)","","This offer is sourced from public domain with very high probability of acceptance. We insist you to please call the merchant directly to verify the validity of offe","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Not Valid on  Alcoholic & Non Alcoholic Beverages","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3001,"Apex Garden","0","Offline",1501,5,""
"7",3206,"Cafe Coffee Day","No-1, Chairman rajai nagar,mettupalayam road,coimbatore-641043-","","","Coimbatore","",11.0276112,76.951274,"Tamil Nadu","","",1,1,1,1,1,1,1,3000,"20-01-2016",26000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3000,"Cafe Coffee Day","0","Offline",1500,5,""
"8",3207,"Cafe Coffee Day","FUN REPUBLIC MALL,LOWER GROUND FLOOR ,NEAR RELIANCE HYPER,PEELAMEDU,COIMBATORE-641004-","","","Coimbatore","",11.0331511,77.02766,"Tamil Nadu","","",1,1,1,1,1,1,1,3000,"20-01-2016",26000,"","15% discount on a minimum bill of Rs. 300","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Offer is valid on Food & Beverage only, and not on merchandise or combo offers","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3000,"Cafe Coffee Day","0","Offline",1500,5,""
"9",3208,"Favalo - Le Meridian","Le Meridien, Avinashi Road,Neelambur, Coimbatore-641062","","","Coimbatore","",11.0662279,77.0881034,"Tamil Nadu","","",1,1,1,1,1,1,1,3002,"20-01-2016",26002,"","15% On Food Bill (On Ala Carte)","","This offer is sourced from public domain with very high probability of acceptance. We insist you to please call the merchant directly to verify the validity of offe","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Not Valid on  Alcoholic & Non Alcoholic Beverages","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3002,"Favalo - Le Meridian","0","Offline",1502,5,""
"10",3209,"Peacock - Le Meridian","Le Meridien, Avinashi Road,Neelambur, Coimbatore-641062","","","Coimbatore","",11.0662279,77.0881034,"Tamil Nadu","","",1,1,1,1,1,1,1,3003,"20-01-2016",26003,"","15% On Food Bill (On Ala Carte)","","This offer is sourced from public domain with very high probability of acceptance. We insist you to please call the merchant directly to verify the validity of offe","This offer may not be clubbed with any other ongoing offers.","Please check the HSBC website for detailed T&C","",NA,"This offer is available exclusively to HSBC customers.  Not Valid on  Alcoholic & Non Alcoholic Beverages","Offline","",NA,NA,"NULL","01-01-2016","31-12-2016","Deal","Discount","Y","20-01-2016","","",50000,"Food and Beverages",0,3003,"Peacock - Le Meridian","0","Offline",1503,5,""
