"","CustomerID","OfferID","value","interest","CategoryID","CategoryName","CategoriesCSV"
"1",11,11822,"6","NO",100200,"Housekeeping","Home and Living,Furniture and Decor,Electronics and Gadgets"
"2",11,12020,"14","NO",50000,"Food and Beverages",NA
"3",11,12020,"14","NO",50100,"Fast Food",NA
"4",11,12122,"8","NO",80000,"Grocery",NA
"5",11,12124,"4","NO",50000,"Food and Beverages",NA
"6",11,12124,"4","NO",50100,"Fast Food",NA
"7",11,12154,"12","NO",60100,"Sports","Home and Living,Furniture and Decor,Health and Beauty"
"8",11,12156,"4","NO",50000,"Food and Beverages","Food and Beverages,Fast Food"
"9",11,12156,"4","NO",50100,"Fast Food","Food and Beverages,Fast Food"
"10",11,12201,"2","NO",80000,"Grocery","Grocery"
"11",11,12324,"4","YES",110000,"Kids and Toddlers",NA
"12",11,12324,"4","YES",110300,"Baby Care",NA
"13",11,12598,"4","NO",80000,"Grocery","Grocery"
"14",11,12599,"2","NO",80000,"Grocery","Grocery"
"15",11,12608,"4","NO",80000,"Grocery","Food and Beverages,Fast Food"
"16",11,12739,"6","NO",110000,"Kids and Toddlers",NA
"17",11,12739,"6","NO",110100,"Kids Fashion",NA
"18",11,12902,"4","NO",10000,"Fashion",NA
"19",11,12902,"4","NO",10600,"Eyewear",NA
"20",11,13393,"4","NO",120000,"Online Recharge","Online Recharge,Mobile Recharge,Data Card Recharge,DTH Recharge"
"21",11,13393,"4","NO",120100,"Mobile Recharge","Online Recharge,Mobile Recharge,Data Card Recharge,DTH Recharge"
"22",11,13393,"4","NO",120200,"Data Card Recharge","Online Recharge,Mobile Recharge,Data Card Recharge,DTH Recharge"
"23",11,13393,"4","NO",120300,"DTH Recharge","Online Recharge,Mobile Recharge,Data Card Recharge,DTH Recharge"
"24",11,13859,"4","YES",100000,"Home and Living",NA
"25",11,13859,"4","YES",100100,"Furniture and Decor",NA
"26",11,14045,"6","NO",150000,"Travel",NA
"27",11,14045,"6","NO",150100,"Domestic Flights",NA
"28",11,14134,"4","NO",40700,"Personal Care Appliances","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"29",11,14134,"4","NO",40800,"Home Appliances","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"30",11,14134,"4","NO",90200,"Body Care","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"31",11,14134,"4","NO",100100,"Furniture and Decor","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"32",11,14134,"4","NO",100200,"Housekeeping","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"33",11,14134,"4","NO",100300,"Pet Supplies","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"34",11,14134,"4","NO",100400,"Kitchenware","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"35",11,14134,"4","NO",110000,"Kids and Toddlers","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"36",11,14134,"4","NO",110300,"Baby Care","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"37",11,14134,"4","NO",110500,"Baby Gears","Electronics and Gadgets,Personal Care Appliances,Home Appliances,Home and Living,Furniture and Decor,Housekeeping,Pet Supplies,Kitchenware,Kids and Toddlers,Baby Care,Baby Gears"
"38",11,14341,"4","NO",150000,"Travel",NA
"39",11,14341,"4","NO",150100,"Domestic Flights",NA
"40",11,14408,"4","NO",120000,"Online Recharge","Online Recharge,Mobile Recharge"
"41",11,14408,"4","NO",120100,"Mobile Recharge","Online Recharge,Mobile Recharge"
"42",11,14409,"2","NO",120000,"Online Recharge","Online Recharge,Mobile Recharge"
"43",11,14409,"2","NO",120100,"Mobile Recharge","Online Recharge,Mobile Recharge"
