OfferID,LMDID,OfferTitle,OfferDesc,TnC1,TnC2,TnC3,TnC4,TnC5,GeneralOfferTnC,Online_Offline,OfferImgUrl1,OfferImgUrl2,OfferImgUrl3,OfferImpactIndex,OfferStartDate,OfferEndDate,CouponType,OfferType,OfferActiveFlag,OfferAddDate,CategoriesCSV,Bank
11798,57135,Men s Round Neck Collection Starting At 430/-,,,,,,,Starting At Rs.430,Online,,,,NULL,24-07-2015,01-05-2016,Deal,Offer,Y,24-07-2015,"Fashion,Mens Apparels",
11799,57134,Colourful Love Couple Pillow Cover for Just 714/-,,,,,,,Get it for just Rs.714,Online,,,,NULL,24-07-2015,01-05-2016,Deal,Offer,Y,24-07-2015,"Home and Living,Furniture and Decor",
11801,57130,Register & Get Free Gift Voucher Worth Rs. 2000,,,,,,, Worth Rs.2000,Online,,,,NULL,24-07-2015,01-05-2016,Deal,Sign-Up,Y,24-07-2015,Gift Items,
11802,70698,2 Pcs Combo Pack T-Shirts for Just Rs. 447/-,,,,,,,Get it for just Rs.447,Online,,,,NULL,24-08-2015,01-05-2016,Deal,Offer,Y,24-08-2015,"Fashion,Mens Apparels",
11803,70700,3 Pcs Combo Pack Men T-Shirts for 609/-,,,,,,,Get it for just Rs.609,Online,,,,NULL,24-08-2015,01-05-2016,Deal,Offer,Y,24-08-2015,"Fashion,Mens Apparels",
11804,70697,3 Pcs Combo Pack Women T-Shirts 561/-,,,,,,,Get it for just Rs.561,Online,,,,NULL,24-08-2015,01-05-2016,Deal,Offer,Y,24-08-2015,"Fashion,Womens Apparels",
11805,70696,2 Pcs Combo Pack Women T-Shirts for 429/-,,,,,,,Get it for just Rs.429,Online,,,,NULL,24-08-2015,01-05-2016,Deal,Offer,Y,24-08-2015,"Fashion,Womens Apparels",
11806,57142,"Up to  50% Discount On Sarees, Jewellery And More",,,,,,,"Valid on Sarees, Kurtas, Jewellery & More",Online,,,,NULL,24-07-2015,01-05-2016,Deal,Discount,Y,24-07-2015,"Fashion,Ethnic Wear,Jewellery",
11813,57178,Up to  25% Discount On Engineering Books,,,,,,,Valid on Engineering Books,Online,,,,NULL,24-07-2015,01-05-2016,Deal,Discount,Y,24-07-2015,Training and Materials,
11814,57177,Up to  20% Discount On International Exam Preparation Books,,,,,,,Valid on International Exam Books,Online,,,,NULL,24-07-2015,01-05-2016,Deal,Discount,Y,24-07-2015,Training and Materials,
11815,57179,5% Discount On LS2 Bike Helmets,,,,,,,Valid on LS2 Helmets At AceBiker,Online,,,,NULL,24-07-2015,01-05-2016,Code,Coupon,Y,24-07-2015,Car and Bike Accessories,
11816,57180,Up to  Rs.1150 Discount On Bike Helmets,,,,,,,Valid on Helmets,Online,,,,NULL,24-07-2015,01-05-2016,Deal,Discount,Y,24-07-2015,Car and Bike Accessories,
