ShopID,ShopName,Address,Landmark,Area,City,Pincode,Latitude,Longitude,State,StartTime,EndTime,OpenMonday,OpenTuesday,OpenWednesday,OpenThursday,OpenFriday,OpenSaturday,OpenSunday,MerchantID,ShopAddDate
11,Everygreen Eye Vision,"Shop No 13, Nagardas Park",Near Old Nagardas Road Post Office,Andheri East,Mumbai,400069,19.1218,72.8505,Maharashtra,00:00:00,00:00:12,0,1,1,1,1,1,1,971,07-10-2015
12,The Time Store,"A-1, Ashish Bldg, Sahar Road, Opp. Agarkar Chowk",Near Railway Station,Andheri East,Mumbai,400069,19.1179,72.8482,Maharashtra,00:00:00,00:00:10,1,1,1,1,1,1,1,972,07-10-2015
13,Global Fusion,"Shop No 3, Ram Niketan building, Koldongri",Sahar Road,Andheri East,Mumbai,400069,19.111278,72.849886,Maharashtra,09:00:00,22:00:00,1,0,1,1,1,1,1,973,07-10-2015
14,Naman Collection,"Shop - 4, ram Niketan Building, Koldongri",Sahar Road,Andheri east,Mumbai,400069,19.111381,72.849875,Maharashtra,10:00:00,21:00:00,1,0,1,1,1,1,1,976,07-10-2015
15,Wonder Living Furniture,"Shop No 4 & 5, Gokul Arcade, A wing, Sahar Road",Near Garware Ployster,Vile Parle,Mumbai,400057,19.109963,72.851922,Maharashtra,11:30:00,21:00:00,1,0,1,1,1,1,1,977,07-10-2015
27,Divyam,Andheri Kurla Road,Andheri Kurla Road,J. B. Nagar,Mumbai,400059,19.1122169,72.8667273,Maharashtra,10:30:00,21:30:00,1,1,1,1,1,1,1,978,08-10-2015
28,Divyam ,"Shop No 4 Adarsh Society, Nehru Road",opp. Sabari Hotel,Vile Parle East,Mumbai,400057,19.097731,72.848713,Maharashtra,10:30:00,21:30:00,1,1,1,1,1,1,1,978,08-10-2015
29,Divyam,"Shop No 22, Ganga Niwas, , Link Road",Opp Ichapurti Hanuman Temple,Malad West ,Mumbai,400064,19.185046,72.83521,Maharashtra,10:30:00,21:30:00,1,1,1,1,1,1,1,978,08-10-2015
30,Sambhav Electronics,"Naseeb Manzil, Sahar Road, Koldongri",Sahar Road,Andheri East,Mumbai,400069,19.112905,72.848276,Maharashtra,11:00:00,21:30:00,1,0,1,1,1,1,1,979,09-10-2015
31,Maharashtra,"6, Halwai Nagar, Koldongri",Sahar Road,Andheri East,Mumbai,400069,19.11081,72.850765,Maharashtra,09:00:00,21:30:00,1,1,1,1,1,1,1,980,09-10-2015
32,Excellence,"Sajid Tower, S. V. Road",opp. Amboli Railway Crossing,Andheri West,Mumbai,400058,19.129407,72.847188,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,981,09-10-2015
33,Better Home,"Shop No. 2, Blesan Apartment, S. V. Road, Amboli Naka",Opp. Amboli Church,Andheri West,Mumbai,400058,19.127541,72.846785,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,982,09-10-2015
34,Reshma Furnishing & Mattresses,"Shop No 5, S. V. Road",Nr. Amboli Naka Signal,Andheri West,Mumbai,400058,19.127724,72.846893,Maharashtra,10:00:00,21:00:00,1,1,1,1,1,1,1,983,09-10-2015
35,Sidrah Sales,"All types of Bags, Hand Luggage, Soft Bag Packs, Haver Sack Bags, Travel Bags, Laptop Bags, Gym Bags, Office Bag, Leather Office Bags, Leather Laptop Bag and Ladies Purse",Opp.  Bhatia Classes,Andheri West,Mumbai,400058,19.122911,72.846349,Maharashtra,10:00:00,21:30:00,1,1,1,1,1,1,1,984,09-10-2015
36,Kanco,S. V. road,Near Post Office,Andheri West,Mumbai,400058,19.121466,72.84601,Maharashtra,10:30:00,21:30:00,1,1,1,1,1,1,1,985,09-10-2015
37,Mahalaxmi Collection,"Shop No. 4 Thankar Building, S. V. Road, Andheri Naka",Under Metro Bridge,Andheri West,Mumbai,400058,19.121814,72.846073,Maharashtra,10:00:00,21:30:00,1,1,1,1,1,1,1,986,09-10-2015
38,Bavlee,Old Nagardas Road,Old Nagardas Road,Andheri East,Mumbai,400069,19.120552,72.849435,Maharashtra,10:00:00,21:00:00,1,1,1,1,1,1,1,987,10-10-2015
39,Tribal Zone,"3, Riyaz House, Irla Road",Irla Road,Vile Parle West,Mumbai,400056,19.108355,72.838588,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,988,10-10-2015
40,Prince,"6, Arif Mansion",Irla Society Road,Vile Parle West,Mumbai,400056,19.108125,72.839718,Maharashtra,10:30:00,22:00:00,1,1,1,1,1,1,1,989,10-10-2015
41,Apsara - The Mobile Shop,"2/59, Alankar Bldg, Sagar Road, Nr. Railway Station",Opp. Better Home,Andheri East,Mumbai,400069,19.117483,72.84823,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,990,10-10-2015
42,Momento,"16-A, Kalpita Enclave, Sahar Road",Sahar Road,Andheri East,Mumbai,400069,19.112905,72.848276,Maharashtra,10:00:00,22:30:00,1,1,1,1,1,1,1,991,10-10-2015
43,Blush Salon,"Shop No 2, Bhatt Building",Old Nagardas Road,Andheri East,Mumbai,400069,19.123874,72.85109,Maharashtra,10:30:00,21:00:00,1,1,1,1,1,1,1,992,12-10-2015
44,Blush Salon,"Shop No 19, Satellite Garden Phase 2,",Film City Road,Goregaon East,Mumbai,400063,19.173426,72.874134,Maharashtra,10:30:00,21:00:00,1,1,1,1,1,1,1,992,12-10-2015
45,Awesome - unisex Salon,"Shiv Ashish, S.V. Road","Near vijay Sales, Opp. Bank of Maharashtra",Andheri West,Mumbai,400058,19.11333,72.841947,Maharashtra,08:00:00,21:00:00,1,1,1,1,1,1,1,994,12-10-2015
46,Ujala Furnishing Center,"E-11, Deepawali Building, Shop No. 3, S.V. Road",Near M.A. High School,Andheri West,Mumbai,400058,19.118034,72.844858,Maharashtra,11:00:00,21:00:00,1,1,1,1,1,1,1,995,12-10-2015
47,Jinal Designer Studio,"Shop No 10/11, Madhav Nagar, S. V. Road",Next to BSES Sub. Stn,Andheri West,Mumbai,400058,19.1191,72.845248,Maharashtra,10:30:00,21:30:00,1,1,1,1,0,1,1,996,12-10-2015
48,Azka Collection,"Shop No B/4, Super Market, Sakinaka","Opp. Maharashtra Weigh, below metro station",Andheri East,Mumbai,400072,19.10315,72.888228,Maharashtra,10:30:00,23:00:00,1,1,1,1,1,1,1,997,12-10-2015
49,Concept - Fancy Hardware,"Shop No. 7/8, Shah Apartment, Marol Maroshi Road, Near Temptation Hote",Behind SBI Bus Stop,Andheri East,Mumbai,400059,19.115459,72.879811,Maharashtra,10:00:00,20:00:00,0,1,1,1,1,1,1,998,13-10-2015
50,Jai Bhawani Jewelers,"Plot No. 18-A, 14/15, Bhavni Nagar", M. M. Road,Andheri East,Mumbai,400059,19.119916,72.88002,Maharashtra,09:30:00,21:30:00,1,0,1,1,1,1,1,999,13-10-2015
51,Morange Professional Salon,"Shop No 2, Bamanpuri CHS, Kanti Nagar, J. B. Nagar",Opp. Gnaesh Mandir,Andheri East,Mumbai,400059,19.109026,72.86555,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1000,13-10-2015
52,Prem & Sons,"Shop . No. 5, Gulmohar Apts, Vjay Nagar, M.M. Road, Marol",Opp. St. Vincent Palloti Church,Andheri East,Mumbai,400059,19.12078,72.880012,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1001,13-10-2015
53,Choice Bakers & Fast Food,"Asad Compound, Marol Pipe Line Bus stop",Opp. Mukund Hospital,Andheri East,Mumbai,400059,19.110792,72.872093,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1002,13-10-2015
54,Choice Center,"5/5 Greenland Apartments, J. B. Nagar",Greenland Apartments,Andheri East,Mumbai,400059,19.110758,72.866676,Maharashtra,09:00:00,22:00:00,1,1,1,1,1,1,1,1003,13-10-2015
55,Sweetlime,"Shop. No. 1, Jay Ganesh Society, J. B. Nagar",Opp. Monarch park,Andheri East,Mumbai,400059,19.1086,72.864762,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1004,13-10-2015
56,Chouhan Furnishing,"Mastan Estate, Marol Maroshi Road, ",M.M. Road,Andheri East,Mumbai,400059,19.112482,72.879252,Maharashtra,09:00:00,21:00:00,1,0,1,1,1,1,1,1005,16-10-2015
57,Cantabil Retail India ,"Shop No D-7, Mukund Nagar, C.H.S.L, Andheri Kurla Road, Marol Pipe Line",Near Mukund Hospital,Andheri East,Mumbai,400059,19.077389,72.917641,Maharashtra,11:00:00,21:30:00,1,1,1,1,1,1,1,1006,16-10-2015
58,Ruchira Jewelers,"18/C/31, Bhavani Nagar Shopping Center, M.M. Road",Opp. Seven Hills Hospital,Andheri East,Mumbai,400059,19.111864,72.879028,Maharashtra,09:30:00,21:30:00,1,0,1,1,1,1,1,1007,20-10-2015
59,Neptune - Family Dining,"Andheri Kurla Road, Marol",Below Marol Naka Metro Station,Andheri East,Mumbai,400059,19.117301,72.884039,Maharashtra,11:00:00,23:00:00,1,1,1,1,1,1,1,1008,20-10-2015
60,Classic Luggage,"Shop No. 14, Pranik Chambers, Saki Vihar Road",Sakinanaka Junction,Andheri East,Mumbai,400072,19.114684,72.888993,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1009,20-10-2015
61,Gini & Jony,Saki Vikar Road,Saki Naka junction,Andheri East,Mumbai,400072,19.114684,72.888993,Maharashtra,10:30:00,21:30:00,1,1,1,1,1,1,1,1010,20-10-2015
62,Shubham Jewelers,"72, 99, Galleria, Hiranandani gardens",Opp. ICICI ATM,Powai,Mumbai,400076,19.1193858,72.9116404,Maharashtra,09:30:00,20:30:00,1,1,1,1,1,1,1,1012,20-10-2015
63,Shubham Jewelers,"Shop no 2, Nahar Business Center, Chandivali Farm Road, Chandivali",Nahar,Andheri East,Mumbai,400072,19.114667,72.895123,Maharashtra,09:30:00,20:30:00,1,1,1,1,1,1,1,1012,20-10-2015
64,Ashraf Salon,"Shop No A-8, Nahar Amrit Shakti Road,  Opp Lokmilan building, Chandivali",Nahar Shopping Complex,Andheri East,Mumbai,400072,19.118171,72.890492,Maharashtra,09:00:00,22:00:00,1,1,1,1,1,1,1,1013,20-10-2015
65,Mumbai Masala,"Shop No 9, Shiv Om Complex, Chandivali",Near ICICI Bank,Andheri East,Mumbai,400072,19.118171,72.890492,Maharashtra,11:00:00,00:00:00,1,1,1,1,1,1,1,1014,20-10-2015
66,Red & Blue ,"Shop No 8, Marol Maroshi Road",Opp. Seven Hills Hospital,Andheri East,Mumbai,400059,19.117093,72.88018,Maharashtra,09:30:00,22:30:00,1,1,1,1,1,1,1,1015,20-10-2015
67,Blush Salon & Spa,"Shop No. 7/8, Abbas Manzil, CTS 605, Chakala Road",Chakala Road,Andheri East,Mumbai,400099,19.107906,72.858783,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1017,20-10-2015
68,Classic Furnishing & Mattreses,"Plot No. 44, Shop No. 2, Tarun Bharat Society, Chakala",Tarun Bharat Society,Andheri East,Mumbai,400099,19.108089,72.861841,Maharashtra,10:00:00,22:00:00,1,0,1,1,1,1,1,1018,20-10-2015
70,Beauty Furnishing Foam Center,"Gurushri Building, Plot No. 11, Shop No 3, Tarun Bharat Society, Chakala",Tarun Bharat Society,Andheri East,Mumbai,400099,19.107862,72.860449,Maharashtra,09:30:00,21:30:00,1,0,1,1,1,1,1,1019,20-10-2015
71,Paradise Furnishing,"Darshan Classic Building, Shop No. 4, J.B. Nagar",Near Darshan Classic Buidling,Andheri East,Mumbai,400099,19.108089,72.861841,Maharashtra,09:00:00,21:00:00,1,0,1,1,1,1,1,1020,20-10-2015
72,Kala Mandir NX,"Shop No. 8/9, Swami vivekanand Society, Chakala",,Andheri East,Mumbai,400099,19.1154401,72.8316142,Maharashtra,10:00:00,21:00:00,1,0,1,1,1,1,1,1021,20-10-2015
73,Lucky Hardware Stores,"1&2, Krishna Bhuvan, P.P> Road",Opp. Sona Udyog,Andheri East,Mumbai,400069,19.12557,72.853145,Maharashtra,09:00:00,21:00:00,0,1,1,1,1,1,1,1022,21-10-2015
75,Classic Furnishing,"Shreyas 113, J.P. Road",Opp. Navrang Talkies,Andheri West,Mumbai,400058,19.123676,72.843061,Maharashtra,10:00:00,21:00:00,1,1,1,1,1,1,1,1023,21-10-2015
76,Fashion House NX - Family Shop,Shop No 2 Kapoor Buildind J.P.Road,Near Navrang Cinema,Andheri West,Mumbai,400058,19.123352,72.84369,Maharashtra,10:30:00,21:30:00,1,1,1,1,0,1,1,1024,21-10-2015
77,Vision Tech optics & Contact Lens Clinic,"2,Devi Ekveera Apartment",Old Nagardas Road,Andheri East,Mumbai,400069,19.120958,72.849968,Maharashtra,10:00:00,21:00:00,1,1,1,1,1,1,1,1025,21-10-2015
78,All Right Shoes,"Shop No 40-A/1,Sunderji Bhagwanji Bhatt Building",Old Nagardas Road,Andheri East,Mumbai,400069,19.124801,72.851697,Maharashtra,10:00:00,22:00:00,1,0,1,1,1,1,1,1026,21-10-2015
80,Decent Womens Wear,"Shop No 3-B, Building No 22, Amarjyoti ",Four Bunglows,Andheri West,Mumbai,400053,19.128203,72.825477,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1027,21-10-2015
81,Dhanraj boutiquee,"4, Shanti Bhavan J.P.Road",Opp Ram Mandir,Andheri West,Mumbai,400058,19.122488,72.84526,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1028,21-10-2015
82,Famous Optic,"Shop No 09, Zehra apartment,",Behram Baug,Jogeshwari West,Mumbai,400102,19.144129,72.841247,Maharashtra,09:30:00,21:30:00,0,1,1,1,1,1,1,1030,21-10-2015
84,Nuzhat Footwear,"Shop No !-A, Hansanabad Building",Behram Baug,Jogeshwari West,Mumbai,400102,19.143633,72.839196,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1031,21-10-2015
85,Shamshad Gadi Bhandar,"Shop No 2, Near Metro Palace Hotel Behram Baug",Opp Farid Seekh Kabab,Jogeshwari West,Mumbai,400102,19.143298,72.837996,Maharashtra,10:00:00,22:30:00,1,1,1,1,1,1,1,1032,21-10-2015
86,S-3 Collection,"1, Jiwa Hirji Patel Compound",Behram Baug,Jogeshwari West,Mumbai,400102,19.143329,72.837112,Maharashtra,10:00:00,22:30:00,1,1,1,1,1,1,1,1033,21-10-2015
87,Hilco optics,"113, J.P.Road (Versova Road)",Near Santoshi Maa Temple,Andheri West,Mumbai,400058,19.123541,72.843197,Maharashtra,09:30:00,21:30:00,1,1,1,1,1,1,1,1034,21-10-2015
88,Maitri Material,"Shop No 3,110  Narayan Bhuvan",J.P.Road,Andheri west,Mumbai,400058,19.123929,72.842979,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1035,21-10-2015
89,Kapil Enterprises,"Shop No 46, Ground Floor Sunil Shopping Centre J.P.Road",Opp Navrang Theatre,Andheri West,Mumbai,400058,19.123991,72.842488,Maharashtra,10:30:00,20:30:00,1,1,1,1,0,1,1,1036,21-10-2015
90,Fashion House,"Shop No 9, J.P.Road",Opp Ram Mandir,Andheri West,Mumbai,400058,19.122543,72.845158,Maharashtra,10:00:00,21:00:00,1,1,1,1,1,1,1,1037,21-10-2015
91,Chashma Ghar,"A/03, Sakinaka Industrial Market, A. G. Link Road, Sakinaka Junction",Opp. Maharashtra Vajan Kata,Sakinaka,Mumbai,400072,19.103156,72.887531,Maharashtra,10:30:00,22:00:00,1,1,1,1,1,1,1,1038,22-10-2015
92,Solanki Furnishing & Mattresses,"Shop No 2, Lalit kunj, Koldongri, Sahar Road",,Andheri East,Mumbai,400069,19.116232,72.844421,Maharashtra,09:00:00,21:00:00,1,0,1,1,1,1,1,1039,22-10-2015
93,Bellariz Fashion,"Shop No. 5, Harchusind, Bahar C.H.S, Behram Baug Rd, ",,Jogeshwari West,Mumbai,400102,19.143937,72.841481,Maharashtra,10:00:00,21:30:00,1,1,1,1,1,1,1,1040,22-10-2015
94,Aaraish - Islamic Dresses,"Shop No 4, Dream Land Apartment, Near Ruby Hospital, Vaishali Nagar",,Jogeshwari West,Mumbai,400102,19.1439878,72.8419898,Maharashtra,11:00:00,22:00:00,1,1,1,1,0,1,1,1041,22-10-2015
95,Falak Boutique,"Shop No. 7 Dreamland building, Vaishali Nagar",,Jogeshwari West,Mumbai,400102,19.145075,72.843192,Maharashtra,11:00:00,22:00:00,1,1,1,1,0,1,1,1042,22-10-2015
96,Zaiba optics,"Behram Baug to Veera Desai Road,  Behram Baug",Near Behram Baug Police chowky,Jogeshwari West,Mumbai,400102,19.143008,72.842927,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1043,22-10-2015
97,Zaiba Optics,"Shop No 2, Nrendra CHS, S.V. Road, ",Below Orbit Eye Hospital,Jogeshwari West,Mumbai,400102,19.1436495,72.8403608,Maharashtra,00:00:00,22:00:00,1,1,1,1,1,1,1,1043,22-10-2015
98,Zaiba Optics,"Shop No. 13, Belwalkar Wadi, M. G. Road",,Goregaon West,Mumbai,400104,19.1630501,72.8371113,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,1,1,1043,22-10-2015
99,Magson Mens Wear,"Gokul Arcade, Shop no. A/9, S.N. Marg",Next to Garware,Vile Parle East,Mumbai,400057,19.109852,72.852013,Maharashtra,11:00:00,21:00:00,1,0,1,1,1,1,1,1044,22-10-2015
100,ALFIZA,"Shop No. 1, 2, 3 Ganesh Nagar, New Link Road, Near Tandon garage",Opp. Evershine Gree tower,Jogeshwari West,Mumbai,400102,19.146388,72.833444,Maharashtra,10:30:00,22:00:00,1,1,1,1,1,0,1,1045,22-10-2015
101,Sunrise Furniture,"Shop No. 4, New Link Road",Opp. Evershine Building,Jogeshwari West,Mumbai,400102,19.146319,72.833646,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,0,1,1046,22-10-2015
102,Indian Art,"Shop No 5, New Link Road, Behram baug",Opp. Evershine Green,Jogeshwari West,Mumbai,400102,19.145958,72.834059,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,0,1,1047,22-10-2015
103,Natural Living Furniture,"Shop No 2 , New Link Road, Adarsh Nagar",opp. Raigad Military School,Jogeshwari West,Mumbai,400102,19.145918,72.83452,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,0,1,1048,22-10-2015
104,Style Furniture,"Shop No 7, New Link Road, ",Opp. Raigad military school,Jogeshwari West,Mumbai,400102,19.146031,72.834409,Maharashtra,10:00:00,22:00:00,1,1,1,1,1,0,1,1049,22-10-2015
105,Shivam Chairs,"New Link Road, Behram baug",opp. Shiv Sai Mandir,Jogeshwari West,Mumbai,400102,19.145754,72.836469,Maharashtra,09:00:00,18:00:00,1,1,1,1,1,1,1,1050,22-10-2015
106,Tirupati Gents & Boys Wear,"Station Road, Near Hanuman Temple",opp. satelite shopping center,Jogeshwari East,Mumbai,400102,19.135489,72.850759,Maharashtra,09:00:00,22:30:00,1,0,1,1,1,1,1,1051,22-10-2015
107,Siddhi Collection,"Shop No 7, Satellite Shopping Center, Station Road",,Jogeshwari East,Mumbai,400060,19.135481,72.850766,Maharashtra,09:30:00,22:00:00,1,0,1,1,1,1,1,1052,22-10-2015
108,Satyam Appliances,"Shop no 14, Satellite Classic Shopping Center",Opp. Hanuman Mandir,Jogeshwari East,Mumbai,400060,19.135501,72.850822,Maharashtra,09:30:00,22:00:00,1,1,1,1,1,1,1,1053,22-10-2015
109,Anmol,"Shop No 3, Dinbai Building, Station Road",,Jogeshwari East,Mumbai,400060,19.135973,72.851537,Maharashtra,10:30:00,21:30:00,1,0,1,1,1,1,1,1054,22-10-2015
110,Textile Emporium,"146, J.P. Road",Near Andheri Station,Andheri West,Mumbai,400058,19.122385,72.845445,Maharashtra,09:30:00,21:30:00,1,1,1,1,0,1,1,1055,23-10-2015
111,Allwyn Ready Made Garments,"Shpo No 7, Neelkanth Chawl J.P.Road",Opp Ram Mandir,Andheri West,Mumbai,400058,19.122398,72.845415,Maharashtra,09:00:00,22:00:00,1,1,1,1,0,1,1,1056,23-10-2015
